,joints,markers
63,[ 1.68963448 -0.65231755  1.02809032  1.73012838  1.44832386  1.94079471  0.53242419  2.09509017 -0.71918251 -0.54329102 -1.46245114  0.83444845 -2.62361536 -0.90945413 -1.82369711  0.16391904 -0.31241799  0.          0.        ],"[[-1.68488061  2.44485585  1.3837113 ]
 [-3.23294425  1.20371089  1.58254473]]"
64,[ 2.36718151 -1.3516231   2.3206315  -0.97654753  0.05772181  0.07433168 -0.55580905  0.79776372  0.00562313  0.77526733  1.45927627  1.8213628   1.48322357 -1.12772405  1.58218486  1.30776206  1.10000349  0.          0.        ],"[[-3.1171196   2.84352652  1.84352917]
 [-1.86552769  2.30384355  1.47243303]]"
65,[ 1.71452024 -0.8610299   1.11103994  1.67210334 -0.92464686 -1.96106794 -0.68241009  0.84547311 -0.10621674  0.7958438   2.29788462  1.15576761  2.03781969 -0.92632593  2.36065486 -0.12902648  0.64852678  0.          0.        ],"[[-3.09420463  2.85194263  1.99211691]
 [-1.83306978  1.14132173  1.65226556]]"
66,[-2.11202297 -0.74896629  1.75175473 -0.53901719  0.98806298 -2.0013002   2.08309611  2.04486001 -0.3811623  -0.16529024  0.31480001  1.043821    2.91797063 -1.97837243 -1.43193781  1.11901702 -0.3415853   0.          0.        ],"[[-3.04702001  1.48381153  1.70700021]
 [-1.93633627  2.13181175  1.82999915]]"
67,[ 2.96792725 -1.28912943  2.14799518  2.39331033  0.00382167  1.65171419  0.1476369   0.28428858  1.26131405  1.64582903  0.80444886  0.72877732  1.66841073 -0.17927662  1.14855688  0.6797975   1.88945256  0.          0.        ],"[[-3.41251674  2.37237438  1.74252689]
 [-2.02576535  2.28881278  1.99438657]]"
68,[-0.09783479 -0.88038925  1.41107964  0.36445486  0.77166238 -1.36618031 -0.74422601 -1.3616409   0.05186355  0.66850228 -1.28770288 -0.08695585  1.03463723 -1.01409286  0.63958797 -0.73892837  0.8390135   0.          0.        ],"[[-2.50077416  1.60591218  2.28441171]
 [-3.46856231  1.66019899  1.90358601]]"
69,[ 3.46082522 -0.90430239  1.86930601  1.01181105 -1.79595952 -1.48867875 -0.7984987   0.63556003  1.37944431  0.19027678  1.22040587  0.41204653 -2.02197511 -0.04143565 -1.59775939  0.63413698  1.72988579  0.          0.        ],"[[-3.08418579  1.25330274  1.13978457]
 [-1.96774929  2.5118499   1.95556942]]"
70,[ 0.76621153 -0.4921296   1.85344385 -2.83747457  1.36069103 -1.13135766  1.15359898 -1.82582432 -0.63578065  0.17592251 -0.23968936  0.05984204 -1.76454683 -0.57310622 -2.51711331 -0.59317718  1.77539385  0.          0.        ],"[[-1.95627237  2.93661312  1.19768943]
 [-3.4388426   1.9338464   1.92244118]]"
71,[ 2.6328483  -0.61763984  1.22690281 -1.06197377 -0.16659337  1.86433848  1.65522413 -1.26890391  0.73482245  1.53769662  0.35483988 -1.11503134 -2.12866408 -1.59073771  0.85693586  0.53733789  1.17752341  0.          0.        ],"[[-3.2963053   2.09821537  2.06694424]
 [-1.95592175  1.34215417  1.74382464]]"
72,[ 2.41195796e+00 -1.03611803e+00  1.90517533e+00  2.78790993e+00  5.15567358e-01  1.48163588e+00 -1.02917432e+00  1.11505993e+00  7.17691460e-01  1.35938298e+00 -1.47362282e+00  9.84701964e-01  7.05871142e-01 -1.16170040e-04  1.47145666e+00  4.25718426e-01  1.87110415e-01  0.00000000e+00  0.00000000e+00],"[[-3.22036569  2.75435137  1.7329788 ]
 [-2.54641351  0.9264057   1.72579821]]"
